ID;AT;SIL;ARG;AD
ZARC_414;24;42;34;0,187
ZARC_415;15;51;34;0,118
ZARC_416;9;57;34;0,187
ZARC_417;26;41;33;0,104
ZARC_418;13;54;33;0,176
ZARC_419;3;64;33;0,093
ZARC_420;7;60;33;0,181
ZARC_421;11;56;33;0,218
ZARC_422;60;7;33;0,147
ZARC_423;21;46;33;0,116
ZARC_424;13;54;33;0,108
ZARC_425;58;9;33;0,073
ZARC_426;52;15;33;0,073
ZARC_427;56;11;33;0,069
ZARC_428;62;5;33;0,061
ZARC_429;59;8;33;0,057
ZARC_430;42;25;33;0,04
ZARC_431;6;61;33;0,169
ZARC_432;10;57;33;0,211
ZARC_433;2;65;33;0,165
ZARC_434;11;56;33;0,106
ZARC_435;5;62;33;0,219
ZARC_436;9;59;32;0,23
ZARC_437;8;60;32;0,177
ZARC_438;12;56;32;0,22
ZARC_439;9;59;32;0,22
ZARC_440;11;57;32;0,195
ZARC_441;67;1;32;0,178
ZARC_442;49;19;32;0,16
ZARC_443;10;58;32;0,14
ZARC_444;64;4;32;0,135
ZARC_445;44;24;32;0,123
ZARC_446;48;20;32;0,12
ZARC_447;13;55;32;0,11
ZARC_448;12;56;32;0,11
ZARC_449;58;10;32;0,107
ZARC_450;66;2;32;0,103
ZARC_451;62;6;32;0,073
ZARC_452;47;21;32;0,07
ZARC_453;61;7;32;0,067
ZARC_454;60;8;32;0,058
ZARC_455;57;11;32;0,055
ZARC_456;24;44;32;0,229
ZARC_457;8;60;32;0,222
ZARC_458;15;53;32;0,228
ZARC_459;7;61;32;0,183
ZARC_460;26;42;32;0,195
ZARC_461;25;44;31;0,217
ZARC_462;3;66;31;0,167
ZARC_463;11;58;31;0,135
ZARC_464;25;44;31;0,219
ZARC_465;12;57;31;0,21
ZARC_466;45;24;31;0,126
ZARC_467;31;38;31;0,11
ZARC_468;33;36;31;0,109
ZARC_469;63;6;31;0,1
ZARC_470;61;8;31;0,084
ZARC_471;54;15;31;0,068
ZARC_472;59;10;31;0,065
ZARC_473;39;30;31;0,057
ZARC_474;58;11;31;0,046
ZARC_475;62;7;31;0,039
ZARC_476;17;52;31;0,203
ZARC_477;24;45;31;0,193
ZARC_478;29;41;30;0,19
ZARC_479;8;62;30;0,192
ZARC_480;12;58;30;0,132
ZARC_481;68;2;30;0,182
ZARC_482;69;1;30;0,181
ZARC_483;57;13;30;0,172
ZARC_484;58;12;30;0,145
ZARC_485;64;6;30;0,115
ZARC_486;53;17;30;0,1
ZARC_487;42;28;30;0,095
ZARC_488;63;7;30;0,081
ZARC_489;60;10;30;0,081
ZARC_490;13;57;30;0,08
ZARC_491;36;34;30;0,068
ZARC_492;59;11;30;0,067
ZARC_493;62;8;30;0,04
ZARC_494;23;47;30;0,241
ZARC_495;11;59;30;0,193
ZARC_496;3;67;30;0,248
ZARC_497;3;67;30;0,248
ZARC_498;14;56;30;0,2
ZARC_499;2;68;30;0,132
ZARC_500;13;58;29;0,157
ZARC_501;31;40;29;0,147
ZARC_502;19;52;29;0,233
ZARC_503;19;52;29;0,226
ZARC_504;13;58;29;0,197
ZARC_505;13;58;29;0,16
ZARC_506;56;15;29;0,146
ZARC_507;29;42;29;0,117
ZARC_508;26;45;29;0,1
ZARC_509;62;9;29;0,094
ZARC_510;53;18;29;0,094
ZARC_511;49;22;29;0,088
ZARC_512;48;23;29;0,064
ZARC_513;35;36;29;0,062
ZARC_514;63;8;29;0,06
ZARC_515;59;12;29;0,06
ZARC_516;8;63;29;0,19
ZARC_517;8;63;29;0,166
ZARC_518;6;65;29;0,236
ZARC_519;6;65;29;0,2
ZARC_520;21;51;28;0,186
ZARC_521;13;59;28;0,18
ZARC_522;4;68;28;0,16
ZARC_523;12;60;28;0,177
ZARC_524;47;25;28;0,147
ZARC_525;62;10;28;0,115
ZARC_526;53;19;28;0,114
ZARC_527;56;16;28;0,106
