"";"ID";"AT";"ARG";"SIL";"AD";"fit.m1";"fit.m2";"res.m1";"res.m2"
"165";"ZARC_165";15;49;36;1,16;1,32146283973927;1,26753676177573;-0,161462839739266;-0,107536761775733
"166";"ZARC_166";16;49;35;1,14;1,30094337916297;1,24643863825903;-0,160943379162973;-0,106438638259027
"167";"ZARC_167";18;49;33;1,12;1,26242107662983;1,2079402102138;-0,142421076629831;-0,0879402102137956
"168";"ZARC_168";22;49;29;1,1;1,19544294604133;1,14489023839946;-0,0954429460413271;-0,0448902383994634
"169";"ZARC_169";21;49;30;1,04;1,21092916937873;1,15897784085286;-0,170929169378731;-0,118977840852865
"170";"ZARC_170";40;49;11;1;1,06013818727641;1,06080745481637;-0,0601381872764094;-0,060807454816374
"171";"ZARC_171";43;49;8;0,69;1,06401188965309;1,07640474913596;-0,374011889653093;-0,386404749135965
"172";"ZARC_172";11;48;41;2,29;1,43452408987439;1,38723316307876;0,855475910125615;0,902766836921239
"173";"ZARC_173";4;48;48;2,08;1,62789554458346;1,61973814161512;0,452104455416541;0,460261858384882
"174";"ZARC_174";12;48;40;2,5;1,41017338326366;1,36008611058582;1,08982661673634;1,13991388941418
"175";"ZARC_175";45;48;7;1,3;1,06574868051895;1,08056322459367;0,23425131948105;0,219436775406333
"176";"ZARC_176";19;48;33;1,22;1,26263494542254;1,20661859621754;-0,0426349454225366;0,0133814037824598
"177";"ZARC_177";15;48;37;1,2;1,34203194381018;1,2867738777915;-0,142031943810182;-0,0867738777915041
"178";"ZARC_178";14;48;38;1,08;1,36392731023156;1,30989562794835;-0,283927310231555;-0,229895627948355
"179";"ZARC_179";27;48;25;1,01;1,14312639167692;1,09954458486035;-0,133126391676921;-0,0895445848603451
"180";"ZARC_180";25;48;27;0,94;1,16809284973462;1,12013710714705;-0,228092849734616;-0,180137107147046
"181";"ZARC_181";16;48;36;0,93;1,32095502411859;1,26491878600397;-0,390955024118593;-0,334918786003969
"182";"ZARC_182";29;48;23;0,73;1,12143372053837;1,08282641176122;-0,391433720538366;-0,352826411761221
"183";"ZARC_183";14;47;39;1,6;1,38527792849225;1,330229771997;0,214722071507746;0,269770228003005
"184";"ZARC_184";17;47;36;1,24;1,32043607050169;1,26242140686856;-0,0804360705016915;-0,0224214068685578
"185";"ZARC_185";15;47;38;1,01;1,36286595524231;1,30638386696612;-0,352865955242311;-0,296383866966118
"186";"ZARC_186";35;47;18;0,85;1,08221081339199;1,05719122532277;-0,232210813391989;-0,207191225322771
"187";"ZARC_187";39;47;14;0,84;1,06438477317016;1,05219804258811;-0,224384773170158;-0,212198042588111
"188";"ZARC_188";6;47;47;1,95;1,59330245560297;1,57087698825268;0,356697544397032;0,379123011747319
"189";"ZARC_189";10;47;43;2,33;1,48290602735624;1,43890716611735;0,847093972643762;0,891092833882646
"190";"ZARC_190";1;46;53;2,19;1,77544012344602;1,8017225203193;0,41455987655398;0,388277479680699
"191";"ZARC_191";20;46;34;1,98;1,28108802100579;1,22160038832889;0,698911978994211;0,758399611671107
"192";"ZARC_192";45;46;9;1,59;1,05830167200328;1,06192246250127;0,531698327996719;0,528077537498726
"193";"ZARC_193";41;46;13;1,5;1,06128852123524;1,05122744958588;0,438711478764762;0,448772550414124
"194";"ZARC_194";35;46;19;1,27;1,08909662837492;1,06019857060409;0,18090337162508;0,209801429395907
"195";"ZARC_195";18;46;36;1,21;1,31990597888856;1,26004417723982;-0,109905978888561;-0,0500441772398206
"196";"ZARC_196";19;46;35;1,03;1,30010820272565;1,2402647130515;-0,270108202725646;-0,210264713051503
"197";"ZARC_197";14;46;40;1,03;1,4068730279708;1,3509205918529;-0,376873027970803;-0,320920591852899
"198";"ZARC_198";22;46;32;1;1,24538044089525;1,18750833037745;-0,24538044089525;-0,187508330377447
"199";"ZARC_199";15;46;39;0,99;1,38396487403566;1,32637294491075;-0,393964874035655;-0,336372944910748
"200";"ZARC_200";39;46;15;0,97;1,06744751250957;1,05088475815421;-0,0974475125095663;-0,0808847581542138
"201";"ZARC_201";17;46;37;0,87;1,34048134949453;1,28096793530091;-0,470481349494534;-0,410967935300907
"202";"ZARC_202";16;46;38;0,83;1,36183431454357;1,30306673441885;-0,531834314543565;-0,473066734418854
"203";"ZARC_203";43;46;11;0,57;1,05823990773314;1,05489923985808;-0,488239907733144;-0,484899239858081
"204";"ZARC_204";36;46;18;0,5;1,08251795774399;1,05661375274712;-0,582517957743994;-0,556613752747116
"205";"ZARC_205";17;45;38;1,5;1,36083238813532;1,29994330374824;0,139167611864682;0,20005669625176
"206";"ZARC_206";37;45;18;1,33;1,08244629351923;1,05559779006728;0,247553706480769;0,274402209932717
"207";"ZARC_207";36;45;19;1,31;1,08917249940293;1,05938169742608;0,220827500597066;0,25061830257392
"208";"ZARC_208";48;45;7;1,26;1,05843113657835;1,06707895573095;0,201568863421645;0,192921044269051
"209";"ZARC_209";16;45;39;1,09;1,38270196001292;1,32274856235414;-0,292701960012918;-0,232748562354141
